,YearBuilt,YearRemodAdd,OverallCond,OverallQual,ExterCond,KitchenQual,TotalArea
604,1953,1953,5,5,2,2.0,15140.0
605,1957,1957,5,6,2,2.0,17618.0
606,1957,1982,3,5,2,2.0,10975.0
607,1957,1957,5,5,2,2.0,16568.0
608,1948,1950,6,4,2,2.0,11447.0
609,1925,1950,8,5,3,2.0,9964.0
610,1940,2005,7,4,2,2.0,7336.0
611,1922,1950,5,5,2,2.0,14752.0
612,1968,1968,6,5,2,2.0,12956.0
613,1958,2001,7,7,2,2.0,14922.0
614,1960,1993,6,6,2,2.0,15646.0
615,1951,1951,7,5,2,2.0,9528.0
616,1959,1959,6,5,2,3.0,11063.0
617,1962,1962,5,5,2,2.0,10353.0
618,1948,1950,6,6,2,2.0,10944.0
619,1954,1954,7,6,2,2.0,8590.0
620,1954,1954,5,6,2,2.0,9572.0
621,1961,1961,5,5,2,2.0,12113.0
622,1955,1967,6,5,3,2.0,10036.0
623,1954,1954,7,5,2,2.0,9200.0
624,1963,1963,5,5,2,2.0,10088.0
625,2008,2008,5,6,2,2.0,11644.0
626,1948,2005,7,5,2,2.0,11687.0
627,1910,2003,5,5,2,2.0,7604.0
628,1940,1950,4,5,2,2.0,6400.0
629,1915,2005,7,6,2,3.0,8740.0
630,1910,1996,6,4,2,2.0,14021.0
631,1940,1985,6,4,3,2.0,10899.0
632,1920,1950,5,5,1,4.0,10445.0
633,1920,2006,6,7,2,3.0,7386.0
634,1940,1950,6,6,2,2.0,14074.0
635,1910,1950,6,5,2,2.0,8432.0
636,1890,1996,9,5,2,3.0,7873.0
637,1946,1950,6,5,2,2.0,12292.0
638,1946,1950,5,2,3,2.0,8694.0
639,1949,1992,1,3,2,2.0,14241.0
640,1900,2006,5,5,1,2.0,12430.0
641,1920,1965,8,7,2,2.0,7904.0
642,1900,2003,7,5,2,2.0,10953.0
643,1920,1960,5,5,2,2.0,13535.0
644,1905,2005,9,5,2,3.0,8669.0
645,1920,1950,1,2,1,2.0,13717.0
646,1890,1999,7,7,2,2.0,15249.0
647,1959,1959,6,5,2,1.0,12026.0
648,1958,2006,6,4,2,2.0,10786.0
649,1928,1983,7,5,3,2.0,10080.0
650,1945,1950,7,7,2,3.0,10437.0
651,1935,1950,5,5,2,2.0,10042.0
652,1941,2006,7,5,3,3.0,7122.0
653,1900,2000,9,6,3,2.0,8102.0
654,1940,1989,7,6,2,3.0,8904.0
655,1924,2003,7,5,1,2.0,8316.0
656,1937,2000,7,6,3,2.0,9538.0
657,1939,1950,5,6,2,2.0,8321.0
658,1926,1950,7,6,2,2.0,7266.0
659,1920,1997,7,5,3,2.0,7836.0
660,1946,1950,7,4,2,2.0,
661,1929,1950,7,4,2,2.0,8861.0
662,1945,1995,6,5,3,2.0,7140.0
663,1939,1950,5,7,2,2.0,9658.0
664,1923,1950,5,5,2,2.0,9892.0
665,1915,2004,4,6,3,3.0,12537.0
666,1910,1983,8,6,2,2.0,11988.0
667,1910,1950,8,6,2,2.0,7162.0
668,1930,1950,6,6,3,2.0,8351.0
669,1952,1952,6,6,2,2.0,13174.0
670,1938,1958,6,6,2,2.0,9854.0
671,1915,1978,6,5,1,2.0,13025.0
672,1925,1992,7,6,2,2.0,9732.0
673,1925,1950,6,6,2,2.0,9394.0
674,1912,1991,8,5,2,2.0,12186.0
675,1915,1950,3,3,1,2.0,12488.0
676,1947,1993,6,5,2,2.0,12010.0
677,1963,1963,6,5,2,3.0,13923.0
678,1978,1978,5,6,2,2.0,15938.0
679,1967,2005,7,5,1,3.0,12951.0
680,1978,1978,8,6,2,2.0,10313.0
681,1967,1967,5,5,2,2.0,12487.0
682,1984,1984,5,5,2,2.0,10448.0
683,1920,1950,4,5,2,2.0,15930.0
684,1963,2003,8,5,3,3.0,11795.0
685,1956,1956,8,6,2,2.0,17496.0
686,1960,1960,3,5,2,2.0,14051.0
687,1941,1973,7,5,2,3.0,10928.0
688,1970,1970,8,5,3,3.0,13166.0
689,1979,1979,6,7,2,2.0,24076.0
690,1948,1950,5,7,2,2.0,7358.0
691,1940,2007,7,5,2,1.0,22687.0
692,1956,1956,6,5,2,3.0,13803.0
693,1975,1975,5,5,2,2.0,11078.0
694,1962,2001,8,6,2,2.0,11766.0
695,1995,2002,5,6,2,3.0,14620.0
696,1994,1994,5,7,2,3.0,14588.0
697,1993,1994,5,7,2,3.0,18070.0
698,1996,1996,5,7,2,3.0,13955.0
699,2007,2007,5,7,2,3.0,13308.0
700,2007,2007,5,8,2,3.0,13805.0
701,2008,2008,5,9,2,4.0,17998.0
702,2008,2008,5,9,2,4.0,16637.0
703,1995,1995,5,8,2,3.0,15555.0
704,1966,1966,6,6,2,2.0,15441.0
705,1994,1994,7,5,2,2.0,12594.0
706,1997,1998,5,7,2,3.0,12616.0
707,1997,1997,5,6,2,3.0,16473.0
708,2000,2000,5,7,2,3.0,12034.0
709,2000,2001,5,7,2,3.0,15989.0
710,1978,1978,6,5,2,2.0,15518.0
711,1975,1975,6,5,2,2.0,11944.0
712,1975,2001,6,5,2,2.0,17938.0
713,2001,2001,5,7,2,3.0,14472.0
714,2001,2002,5,9,2,3.0,14201.0
715,2002,2003,5,8,2,3.0,19538.0
716,2003,2003,5,7,2,3.0,15014.0
717,1999,2000,5,8,2,3.0,15133.0
718,2004,2004,5,6,2,3.0,6822.0
719,1997,1998,5,6,3,2.0,14910.0
720,2004,2004,5,7,2,3.0,13145.0
721,2007,2007,6,7,2,3.0,15024.0
722,2007,2007,5,7,2,3.0,12999.0
723,1966,1966,5,5,2,2.0,12952.0
724,1976,1976,5,5,2,2.0,14543.0
725,1976,1976,6,6,2,2.0,9372.0
726,1977,1977,6,6,2,2.0,12910.0
727,1976,2001,7,6,2,2.0,9722.0
728,1959,1996,7,5,2,4.0,51823.0
729,1955,1955,5,4,1,2.0,7164.0
730,1955,1955,5,4,2,2.0,7997.0
731,1955,1955,5,4,2,2.0,8723.0
732,1938,2007,7,5,2,4.0,13902.0
733,1947,1993,8,5,3,2.0,9187.0
734,1953,1953,5,4,2,2.0,11915.0
735,1954,1954,6,4,2,2.0,9624.0
736,1923,2008,7,4,2,3.0,7771.0
737,1921,1950,8,7,2,2.0,10344.0
738,1930,1950,7,6,2,2.0,11781.0
739,1926,1950,6,6,2,2.0,11490.0
740,1914,1995,6,6,2,2.0,18752.0
741,1925,1997,9,8,3,3.0,10326.0
742,1923,1950,3,6,2,2.0,12853.0
743,1937,1995,6,5,2,3.0,14860.0
744,1938,1950,4,5,2,2.0,11971.0
745,1951,1951,5,6,1,2.0,10785.0
746,1935,1950,6,8,2,2.0,13144.0
747,1950,2000,9,7,3,3.0,15987.0
748,1956,1956,5,5,2,2.0,30628.0
749,1980,1980,6,6,2,2.0,4315.0
750,1926,1998,8,6,3,2.0,9124.0
751,1940,2006,8,6,2,2.0,8050.0
752,1930,1950,7,5,2,2.0,10231.0
753,1967,1967,5,5,2,2.0,8848.0
754,1930,1995,7,5,2,2.0,9274.0
755,1958,1958,5,5,2,2.0,12462.0
756,1952,1952,5,1,0,1.0,15804.0
757,1895,1950,7,4,2,2.0,7122.0
758,1910,2000,7,4,2,2.0,6750.0
759,1920,1950,6,4,2,1.0,10862.0
760,2007,2008,5,8,2,4.0,8142.0
761,2004,2005,5,7,2,4.0,7997.0
762,1996,1997,5,7,2,3.0,28626.0
763,1996,1997,5,7,2,3.0,15264.0
764,1976,1976,4,5,2,2.0,12616.0
765,1991,1991,5,4,2,2.0,14767.0
766,1986,1986,6,7,2,3.0,7854.0
767,2006,2007,5,8,2,3.0,15432.0
768,2007,2007,5,8,2,3.0,16356.0
769,2006,2007,5,5,2,2.0,12196.0
770,2008,2008,5,7,2,3.0,15156.0
771,1989,1989,5,6,2,2.0,17014.0
772,1986,1986,5,6,3,3.0,21919.0
773,2003,2003,5,8,2,3.0,15006.0
774,1999,2000,5,6,2,3.0,12073.0
775,2007,2007,5,8,2,3.0,15857.0
776,2005,2006,5,8,2,3.0,16532.0
777,1997,1998,5,7,3,2.0,12412.0
778,2007,2008,5,5,2,2.0,11514.0
779,1997,1997,5,6,2,2.0,7392.0
780,1964,1964,5,4,2,2.0,17677.0
781,1975,1975,6,5,2,2.0,6903.0
782,1976,1976,7,5,2,2.0,5236.0
783,1973,2006,7,4,3,2.0,4126.0
784,1973,1973,6,4,2,2.0,3564.0
785,1968,1968,6,5,3,3.0,20671.0
786,1970,2007,9,6,3,2.0,3489.0
787,1983,1983,7,5,3,2.0,9016.0
788,1982,2005,6,5,2,3.0,8554.0
789,1984,1984,6,5,2,2.0,14632.0
790,1900,1950,1,5,2,2.0,59410.0
791,1971,1971,6,6,2,2.0,14410.0
792,1997,1997,5,6,2,2.0,11030.0
793,1994,1994,5,6,2,2.0,13207.0
794,1999,2000,5,6,2,2.0,12285.0
795,1996,1996,5,7,2,3.0,10583.0
796,1999,2003,5,6,2,2.0,11625.0
797,1992,1993,5,7,2,3.0,12352.0
798,1993,1994,5,6,2,2.0,11256.0
799,1964,1964,6,6,2,2.0,21424.0
800,1988,1988,5,8,2,2.0,7808.0
801,1990,1990,5,8,2,3.0,8439.0
802,2005,2005,5,8,2,4.0,17019.0
803,2006,2007,5,9,2,3.0,58539.0
804,1969,1990,5,5,2,2.0,45240.0
805,2006,2006,5,9,2,4.0,11979.0
806,2006,2006,5,8,2,3.0,20120.0
807,2006,2007,5,10,2,4.0,19084.0
808,1984,1984,5,6,2,2.0,14200.0
809,1981,2003,7,7,2,3.0,15184.0
810,1978,1985,6,7,2,3.0,16155.0
811,1979,1979,5,7,2,3.0,14986.0
812,1984,1984,6,6,2,3.0,15186.0
813,1979,1999,5,6,2,2.0,14111.0
814,1971,1971,5,6,2,2.0,17039.0
815,1976,1976,6,7,2,3.0,12978.0
816,1974,1974,6,6,2,2.0,11545.0
817,1970,1990,6,5,2,2.0,12884.0
818,1970,2002,5,5,2,4.0,10356.0
819,1961,1961,7,4,3,2.0,19577.0
820,2001,2001,5,6,2,3.0,7638.0
821,1997,1998,5,6,2,3.0,14275.0
822,1973,1973,6,6,2,2.0,4374.0
823,1973,1973,5,6,2,4.0,4240.0
824,1978,1978,7,7,2,2.0,4987.0
825,1966,1966,6,5,2,2.0,9486.0
826,2006,2007,5,9,2,4.0,17213.0
827,2006,2007,5,8,2,3.0,16181.0
828,2007,2007,5,8,2,3.0,19903.0
829,2007,2007,5,9,2,4.0,19865.0
830,2006,2007,5,8,2,4.0,18047.0
831,2005,2006,5,10,2,4.0,20965.0
832,2007,2007,5,9,2,4.0,20215.0
833,2005,2006,5,9,2,4.0,19549.0
834,2007,2007,5,10,2,4.0,23367.0
835,2007,2008,5,8,2,3.0,21489.0
836,2007,2007,5,8,2,4.0,13961.0
837,2006,2006,5,9,2,4.0,18483.0
838,2004,2004,5,8,2,4.0,19085.0
839,2003,2003,5,8,2,3.0,19409.0
840,2007,2007,5,8,2,4.0,16551.0
841,2005,2006,5,7,2,3.0,14270.0
842,2005,2005,5,8,2,3.0,13613.0
843,2006,2007,5,8,2,3.0,14774.0
844,2005,2006,5,6,2,3.0,7406.0
845,2005,2006,5,6,2,3.0,7408.0
846,2005,2006,5,6,2,3.0,9885.0
847,2006,2006,5,8,2,3.0,8710.0
848,2005,2005,5,9,2,4.0,12004.0
849,2006,2006,5,8,2,3.0,9476.0
850,2003,2003,5,7,2,3.0,6838.0
851,2007,2007,5,6,2,3.0,18846.0
852,2005,2006,5,6,2,3.0,13179.0
853,2006,2007,5,7,2,3.0,15957.0
854,2006,2006,5,6,2,3.0,11760.0
855,2006,2007,5,6,2,3.0,12557.0
856,2005,2005,5,6,2,3.0,15519.0
857,2007,2007,5,6,2,3.0,11157.0
858,2007,2007,5,7,2,3.0,10521.0
859,2007,2007,6,7,2,3.0,10663.0
860,2003,2003,5,8,2,3.0,7552.0
861,2007,2007,5,7,2,3.0,6846.0
862,2004,2005,5,7,2,3.0,18834.0
863,2004,2004,5,7,2,3.0,13442.0
864,2006,2006,5,7,2,3.0,14723.0
865,2003,2003,5,7,2,3.0,14328.0
866,2003,2003,5,7,2,3.0,11152.0
867,2002,2002,5,7,2,3.0,12600.0
868,2000,2000,5,6,2,2.0,12584.0
869,1999,2000,5,6,2,2.0,13656.0
870,1997,1998,5,8,2,3.0,17659.0
871,1998,1998,5,9,2,3.0,16152.0
872,1998,1999,5,8,2,3.0,16363.0
873,1998,1998,5,7,2,3.0,15119.0
874,1992,1993,5,8,2,3.0,15795.0
875,1996,1997,5,8,3,3.0,14328.0
876,2007,2007,6,7,2,3.0,13456.0
877,2007,2007,5,8,2,3.0,16212.0
878,2006,2006,5,8,2,3.0,14536.0
879,2007,2007,5,10,2,4.0,17519.0
880,2007,2007,5,7,2,3.0,13729.0
881,2005,2005,5,8,2,3.0,12739.0
882,2005,2006,5,7,2,3.0,12342.0
883,2006,2006,5,7,2,3.0,13671.0
884,2006,2006,5,8,2,3.0,12809.0
885,2007,2007,5,8,2,3.0,12055.0
886,2006,2007,5,7,2,3.0,12455.0
887,2007,2007,5,8,2,3.0,12382.0
888,2007,2007,5,5,2,3.0,13285.0
889,2007,2007,5,8,2,4.0,16395.0
890,2007,2007,5,8,2,4.0,14448.0
891,2006,2006,5,8,2,3.0,16139.0
892,2004,2004,5,6,2,3.0,15483.0
893,2006,2007,5,6,2,2.0,9836.0
894,2006,2006,5,7,2,3.0,9841.0
895,2003,2004,5,5,2,3.0,15214.0
896,2006,2006,5,7,2,3.0,10986.0
897,1993,1997,5,6,2,3.0,15162.0
898,1980,1980,5,6,2,2.0,10871.0
899,1977,1977,5,5,2,2.0,8765.0
900,1968,1968,7,5,2,2.0,10618.0
901,1990,1990,5,7,2,3.0,24093.0
902,1974,1974,5,5,2,2.0,13575.0
903,1973,2006,7,6,2,3.0,16263.0
904,2004,2004,5,8,2,3.0,8051.0
905,2006,2007,5,8,2,3.0,6359.0
906,2006,2007,5,8,2,3.0,7456.0
907,2006,2007,5,7,2,3.0,7017.0
908,2006,2007,5,8,2,3.0,9060.0
909,1999,1999,5,6,2,2.0,4965.0
910,2000,2000,5,6,2,3.0,4918.0
911,1999,2000,5,7,2,3.0,11169.0
912,2003,2004,5,8,2,3.0,11892.0
913,1998,1998,5,8,3,3.0,13574.0
914,1994,1995,5,8,2,3.0,13179.0
915,1980,1980,6,7,2,3.0,17286.0
916,1981,1981,5,8,2,3.0,23944.0
917,1968,1968,6,6,2,2.0,14302.0
918,1970,1970,6,6,2,2.0,12181.0
919,1969,1969,6,6,2,2.0,11578.0
920,1968,1968,5,6,2,2.0,15212.0
921,1972,1987,7,7,2,3.0,15267.0
922,1993,1993,6,7,2,3.0,13667.0
923,1993,1993,6,7,2,3.0,14782.0
924,1966,1966,7,6,2,2.0,13856.0
925,1963,1963,5,6,2,2.0,13348.0
926,1967,1993,6,5,2,3.0,10654.0
927,1964,1964,5,4,2,2.0,12653.0
928,1956,1956,5,5,2,3.0,9886.0
929,1961,1961,5,5,2,2.0,17104.0
930,1961,1961,7,5,3,2.0,11295.0
931,1960,1960,7,5,2,2.0,10780.0
932,1966,1966,6,7,2,2.0,11614.0
933,1965,1965,5,6,2,2.0,12108.0
934,1964,1997,7,6,3,2.0,12499.0
935,1964,1964,5,6,2,2.0,14284.0
936,1959,1991,7,6,3,3.0,25957.0
937,1940,1996,7,5,2,2.0,15198.0
938,1946,1950,3,3,1,3.0,6384.0
939,1945,1950,5,3,2,1.0,4561.0
940,1958,2000,8,5,2,2.0,7385.0
941,1955,1955,6,5,3,2.0,12291.0
942,1968,1968,5,5,2,2.0,12580.0
943,1966,1966,6,5,2,2.0,12875.0
944,1961,1961,5,6,2,2.0,12765.0
945,1957,1999,7,6,2,3.0,11166.0
946,1956,1956,6,5,2,1.0,9184.0
947,1963,1963,7,5,2,3.0,11637.0
948,1960,1960,5,5,2,2.0,11724.0
949,1957,1969,6,6,2,2.0,13252.0
950,1957,1957,5,5,2,2.0,11956.0
951,1955,1975,6,5,2,2.0,15761.0
952,1955,1955,5,5,2,2.0,12818.0
953,1953,2006,9,5,4,4.0,14036.0
954,1958,1958,5,5,2,2.0,11682.0
955,1952,1952,6,6,2,2.0,13304.0
956,1953,1953,7,6,2,2.0,10315.0
957,1956,2003,8,5,3,3.0,10946.0
958,1955,1955,4,4,2,1.0,10232.0
959,1955,1955,5,5,3,2.0,10800.0
960,1953,1953,6,4,2,2.0,13382.0
961,1952,1952,5,5,2,2.0,18375.0
962,1890,2006,7,4,3,2.0,17121.0
963,1953,2004,6,5,2,2.0,15302.0
964,1935,2007,4,5,2,3.0,26887.0
965,1925,1993,7,4,2,2.0,13296.0
966,1895,1999,9,5,3,3.0,13182.0
967,1963,1999,5,7,2,2.0,13873.0
968,1961,1961,7,5,2,2.0,10748.0
969,1968,1968,6,6,2,2.0,10492.0
970,1950,1950,3,5,2,2.0,9830.0
971,1959,2003,7,5,2,3.0,9866.0
972,1958,1958,6,5,2,2.0,10218.0
973,1960,1960,5,5,2,2.0,10711.0
974,1960,1960,5,5,2,2.0,11105.0
975,1961,1961,6,5,2,2.0,8225.0
976,1962,1962,5,5,2,2.0,8738.0
977,1962,1962,5,5,2,2.0,9178.0
978,1926,1980,7,5,3,2.0,9480.0
979,1927,1950,6,6,2,2.0,8892.0
980,1922,1950,5,5,2,1.0,6850.0
981,1920,1990,6,5,2,2.0,5293.0
982,1940,1950,8,5,2,2.0,9459.0
983,1900,2006,8,5,2,3.0,11728.0
984,1900,1950,6,4,2,2.0,7984.0
985,1900,1950,8,4,2,2.0,13014.0
986,1910,1999,9,8,3,3.0,13650.0
987,1927,1950,6,6,2,2.0,12607.0
988,1910,1950,7,5,2,2.0,7602.0
989,1910,1990,8,6,2,2.0,11801.0
990,1930,2005,7,5,3,3.0,6013.0
991,1879,1987,8,7,3,2.0,17647.0
992,1956,1956,6,4,2,2.0,9925.0
993,1949,2002,7,4,2,2.0,13606.0
994,1925,1994,7,5,3,2.0,9193.0
995,1950,1950,6,5,2,2.0,11360.0
996,1939,1998,7,5,3,2.0,8543.0
997,1939,1950,6,6,2,2.0,8049.0
998,1939,1950,7,5,2,2.0,8264.0
999,1938,1950,5,6,2,2.0,9572.0
1000,1939,1952,8,5,3,2.0,8514.0
1001,1930,1992,7,5,2,2.0,9306.0
1002,1926,1950,6,5,2,3.0,8586.0
1003,1918,1995,8,6,3,2.0,11679.0
1004,1920,1950,7,6,3,3.0,11768.0
1005,1926,1950,5,5,2,2.0,11192.0
1006,1929,1990,6,7,2,3.0,8242.0
1007,1901,1950,4,5,2,2.0,7787.0
1008,1901,1950,3,5,2,2.0,8156.0
1009,1963,1963,6,6,2,2.0,17003.0
1010,1950,2005,9,7,4,3.0,13793.0
1011,1915,1950,5,6,2,2.0,14528.0
1012,1958,1958,6,4,2,2.0,6889.0
1013,1910,1950,1,4,1,2.0,13048.0
1014,1937,1980,8,7,3,2.0,17700.0
1015,1942,1979,6,5,2,2.0,6766.0
1016,1963,1963,5,5,2,2.0,13723.0
1017,1964,1980,5,5,2,2.0,14951.0
1018,1964,1964,3,4,2,2.0,16749.0
1019,1964,2001,8,5,3,2.0,16677.0
1020,1966,1966,4,5,2,2.0,14111.0
1021,1971,1990,6,5,2,2.0,10913.0
1022,1968,1968,5,5,2,2.0,10702.0
1023,1967,1967,5,5,3,2.0,11076.0
1024,1966,1966,7,5,3,3.0,10716.0
1025,1956,1998,5,5,2,2.0,17113.0
1026,1920,1996,4,5,1,2.0,21568.0
1027,1940,1998,8,7,2,3.0,9292.0
1028,1954,1995,5,6,2,3.0,14577.0
1029,1958,1998,6,5,2,2.0,16407.0
1030,1945,1950,7,4,2,2.0,10598.0
1031,1984,1984,5,6,2,2.0,14584.0
1032,1948,2005,7,5,3,3.0,19893.0
1033,1953,1953,5,5,2,2.0,26108.0
1034,1946,1950,5,4,2,2.0,19870.0
1035,1954,1994,7,6,3,3.0,17115.0
1036,1954,1954,6,6,2,3.0,14190.0
1037,1958,1958,5,5,2,2.0,7527.0
1038,1958,1994,5,4,2,3.0,12826.0
1039,1984,1984,6,5,4,2.0,6314.0
1040,1951,1951,6,5,2,2.0,12220.0
1041,1951,1994,6,5,2,2.0,13981.0
1042,1920,1950,5,4,1,2.0,10143.0
1043,1984,1984,5,6,2,3.0,29013.0
1044,1994,2001,5,7,3,3.0,13050.0
1045,2007,2007,5,8,2,3.0,13814.0
1046,2006,2007,5,8,2,3.0,15959.0
1047,2007,2007,5,8,2,3.0,14847.0
1048,2005,2006,5,7,2,3.0,15968.0
1049,2006,2006,5,8,2,3.0,12749.0
1050,2005,2006,5,7,2,3.0,10402.0
1051,2005,2006,5,7,2,3.0,13007.0
1052,1988,1988,5,7,2,3.0,12712.0
1053,1976,1976,6,8,2,3.0,24594.0
1054,1994,1994,5,5,2,2.0,17008.0
1055,1997,2006,6,6,3,3.0,12799.0
1056,1994,1994,7,5,3,2.0,11304.0
1057,1996,1996,5,5,2,2.0,19609.0
1058,1999,1999,5,7,2,3.0,14805.0
1059,1998,1999,5,7,2,2.0,15566.0
1060,2001,2001,5,7,2,3.0,12698.0
1061,2000,2000,5,7,2,3.0,12621.0
1062,1974,1974,5,5,2,2.0,13998.0
1063,1976,1976,5,5,3,2.0,11324.0
1064,1977,1977,7,5,2,2.0,12300.0
1065,1977,1977,5,5,2,2.0,11810.0
1066,1977,1977,4,5,2,2.0,18391.0
1067,1975,1975,6,5,2,2.0,11938.0
1068,1972,2000,5,5,2,4.0,9814.0
1069,1972,2006,8,4,3,3.0,9892.0
1070,2000,2000,5,7,2,3.0,16124.0
1071,2003,2003,5,7,2,3.0,12390.0
1072,2002,2002,5,7,2,3.0,12124.0
1073,1994,1995,5,8,2,3.0,15834.0
1074,2001,2001,5,8,2,3.0,17747.0
1075,1996,2002,5,7,2,3.0,19237.0
1076,1999,2000,5,8,2,3.0,20955.0
1077,2007,2007,5,7,2,3.0,10946.0
1078,2005,2005,5,7,2,3.0,11947.0
1079,2006,2007,5,6,2,3.0,11454.0
1080,2006,2006,5,7,2,3.0,11276.0
1081,2005,2005,5,5,2,3.0,11789.0
1082,1967,1967,5,5,2,2.0,12891.0
1083,1963,1963,6,4,3,2.0,11004.0
1084,1925,1950,6,5,3,2.0,19258.0
1085,1960,1960,6,6,2,2.0,11220.0
1086,1976,1976,6,6,1,2.0,9273.0
1087,1979,1979,6,5,2,2.0,12367.0
1088,2005,2006,5,5,2,2.0,9739.0
1089,2008,2009,5,10,2,4.0,52210.0
1090,2005,2005,5,6,2,3.0,5863.0
1091,1959,2000,7,5,2,1.0,9035.0
1092,1955,1955,3,4,2,1.0,8034.0
1093,1946,1950,6,5,2,2.0,11367.0
1094,1920,1995,8,6,2,2.0,11867.0
1095,1955,1955,5,4,2,2.0,10259.0
1096,1955,1955,5,4,2,2.0,10820.0
1097,1923,1950,6,5,2,2.0,15760.0
1098,1926,1950,5,5,2,2.0,10351.0
1099,1921,2005,7,6,2,2.0,9610.0
1100,1930,1995,8,7,2,2.0,5845.0
1101,1921,1950,7,6,2,2.0,9337.0
1102,1926,1991,8,6,2,2.0,9643.0
1103,1927,1992,7,7,2,3.0,10858.0
1104,1951,1951,5,5,2,2.0,15454.0
1105,1930,2003,6,4,3,3.0,10766.0
1106,1941,1950,5,5,2,2.0,8976.0
1107,1960,1960,4,6,1,2.0,29844.0
1108,1968,1968,6,6,2,2.0,25323.0
1109,1980,1980,6,6,3,2.0,4165.0
1110,1995,1996,5,4,2,3.0,22163.0
1111,1988,1988,5,8,2,2.0,6710.0
1112,1971,1971,5,7,2,2.0,24856.0
1113,1986,1986,5,8,2,3.0,22633.0
1114,1940,1950,7,6,2,3.0,9685.0
1115,1925,2003,7,5,3,2.0,10001.0
1116,1923,1999,6,5,2,3.0,
1117,1922,1950,7,5,2,2.0,5500.0
1118,1939,1950,4,2,2,2.0,12059.0
1119,1895,2006,6,5,3,2.0,11331.0
1120,1957,1980,6,4,2,2.0,9875.0
1121,1930,2007,9,5,2,3.0,8550.0
1122,2006,2007,5,8,2,3.0,9660.0
1123,1979,1979,6,6,2,3.0,15326.0
1124,2002,2002,5,5,2,3.0,13868.0
1125,2002,2002,5,7,2,3.0,16547.0
1126,1991,1992,5,7,2,2.0,13616.0
1127,1975,1975,6,7,2,2.0,11348.0
1128,1974,1974,6,6,2,2.0,11320.0
1129,1987,1987,6,7,2,3.0,8048.0
1130,1958,1995,8,6,3,3.0,23969.0
1131,2006,2007,5,7,2,3.0,12418.0
1132,2006,2007,5,8,2,4.0,12174.0
1133,1985,1985,7,7,2,3.0,13828.0
1134,2001,2001,5,8,2,3.0,10308.0
1135,2002,2002,5,8,2,3.0,16307.0
1136,1996,1996,5,6,2,2.0,11365.0
1137,2003,2004,5,7,2,3.0,16178.0
1138,2006,2007,5,10,2,4.0,17677.0
1139,1953,1953,5,3,2,2.0,48368.0
1140,1996,1997,5,6,2,2.0,9066.0
1141,1972,1972,4,4,2,2.0,3395.0
1142,1970,1970,5,4,2,2.0,3673.0
1143,1970,1970,6,4,2,2.0,3197.0
1144,1976,1976,3,4,2,2.0,3814.0
1145,1977,1977,5,5,2,3.0,12206.0
1146,1977,1977,6,6,2,2.0,21933.0
1147,1977,1994,6,5,1,3.0,38961.0
1148,1977,1977,7,5,2,2.0,11341.0
1149,1971,1971,7,5,2,2.0,8573.0
1150,1961,1961,3,4,2,2.0,31487.0
1151,1976,2003,6,5,2,2.0,13902.0
1152,1983,1983,7,5,2,2.0,14181.0
1153,1984,1984,6,5,2,2.0,12766.0
1154,1954,1954,5,6,2,2.0,14510.0
1155,1956,1956,6,6,3,3.0,13158.0
1156,1957,1957,5,5,2,2.0,16142.0
1157,1957,1957,6,6,2,4.0,43218.0
1158,1969,1969,6,7,3,2.0,16081.0
1159,1997,1998,5,6,2,2.0,11890.0
1160,1995,1995,5,6,2,2.0,16000.0
1161,1996,1996,5,6,2,2.0,13511.0
1162,2005,2005,5,8,2,3.0,16912.0
1163,2005,2006,5,7,2,3.0,19063.0
1164,1994,1994,5,8,2,3.0,18823.0
1165,1993,1994,6,6,2,2.0,10977.0
1166,1987,1987,5,8,2,2.0,6867.0
1167,2005,2006,5,9,4,4.0,21290.0
1168,2006,2006,5,10,2,4.0,24180.0
1169,2006,2006,5,9,2,3.0,17065.0
1170,2006,2006,5,10,2,4.0,21836.0
1171,2005,2006,5,9,2,4.0,21413.0
1172,2005,2005,5,9,2,3.0,12459.0
1173,2005,2005,5,9,2,4.0,23820.0
1174,1980,1980,6,6,2,2.0,13438.0
1175,1978,1978,5,7,2,2.0,14719.0
1176,1976,1976,5,7,2,2.0,13581.0
1177,2005,2006,5,7,2,3.0,13577.0
1178,1975,2000,6,6,2,3.0,13689.0
1179,1974,1974,6,6,2,2.0,13342.0
1180,1971,1971,4,4,2,2.0,9640.0
1181,2002,2002,5,6,2,3.0,12682.0
1182,1973,1973,5,6,2,2.0,4817.0
1183,1973,1973,6,5,2,3.0,4766.0
1184,1972,1972,7,6,2,2.0,3678.0
1185,1972,1972,5,6,2,2.0,3375.0
1186,1972,1972,5,6,2,2.0,4265.0
1187,1975,1975,5,6,2,2.0,6901.0
1188,1967,1975,7,5,2,2.0,10384.0
1189,1976,1976,7,7,2,2.0,4738.0
1190,1976,1976,5,6,2,2.0,4978.0
1191,2006,2006,5,9,2,4.0,21545.0
1192,2004,2004,5,8,2,3.0,20279.0
1193,2006,2006,5,7,2,3.0,16606.0
1194,2005,2005,5,9,2,4.0,20521.0
1195,2005,2006,5,9,2,4.0,18332.0
1196,2005,2006,5,9,2,4.0,14632.0
1197,2005,2006,5,8,2,4.0,17532.0
1198,2006,2006,5,8,2,3.0,15203.0
1199,2005,2006,5,8,2,4.0,16583.0
1200,2005,2006,5,9,2,3.0,18724.0
1201,2004,2005,5,9,2,4.0,19560.0
